predictor_1,predictor_2,predictor_3,predictor_4,answer_c1s2,answer_c1s4,answer_c2s2,answer_c2s4,answer_c3s2,answer_c3s3,answer_c4s3,answer_c4s4
13394,18182,14555,14130,13343.280660025412,3758.097716953618,3481.407855947278,4082.3615869666555,1357.1715732034907,4169.470800485794,10385.49772629665,6280.537137109339
14381,15748,12941,16229,11400.411962593873,4039.9047493226326,2986.656990586996,4581.131258188172,1360.9257373479377,3713.8593294355023,9227.16922920823,7607.458445886719
13259,15695,16152,14720,11635.229938669265,4756.801695288633,3039.1567248396486,4423.454719793678,1019.8822805525722,4628.3154040628115,11523.681954848407,5538.154977575147
16978,12963,14365,15188,9464.91091632529,3122.1891890475986,2486.256874397931,5114.942658169782,1012.25945281902,4121.974596578405,10243.019803260435,6956.199632292971
16718,14520,15028,14903,10662.492333428694,2985.002921142701,2788.5260861230845,5143.615625662638,1069.839155824323,4308.143209820618,10719.859085924745,6774.455267950912
15517,13680,16691,12726,10167.641568217801,3395.0710939976407,2671.0384912429317,4423.619914229094,842.5614720016354,4782.364639327201,11908.716104339339,4903.940281424004
15169,15039,12412,16527,10838.041334682504,3741.03857159552,2843.50272478654,4745.00577750745,1357.6782059976022,3563.784884414349,8848.20632476617,8038.390600481882
13287,14625,16790,16060,10885.786676468611,5621.463670291758,2838.966335446018,4876.957593412882,901.4443049323286,4811.753760166257,11978.255409138728,5560.464580426956
13808,14484,16140,14948,10728.600944889262,4762.775471580056,2807.677358163427,4593.726910834869,948.1001212757375,4626.519634205399,11513.504440708857,5592.596279378886
13845,14772,14375,15240,10803.291706137843,4403.154119276052,2834.485205927497,4414.7824465261065,1133.1682706252564,4124.090708277241,10250.916402591178,6423.366930888026
16288,14353,13970,13057,10461.483272851683,2575.714362314824,2756.1818388326005,4264.433294664327,1134.3936942780224,4006.3972998013833,9963.554255941464,6212.984412748503
13570,16345,15728,15039,12082.488441827336,4547.8330478795415,3151.921519457579,4523.899152542423,1110.0726330105538,4506.463724671243,11221.47019711047,5964.379042537671
12993,12936,18456,15326,9740.043432785907,6090.673743795258,2544.6410104914385,4853.836956920959,650.8137791413195,5287.51713586478,13168.352429263117,4376.169720785891
